secteur;langue;nom_produit;prix_unitaire;unite;etiquette_unite;type
home_care;fr;Répit famille;25.0;h;heure;service
home_care;fr;Animation personne âgée;22.0;h;heure;service
home_care;fr;Lecture personne âgée;20.0;h;heure;service
home_care;fr;Jardinage senior;25.0;h;heure;service
home_care;fr;Bricolage senior;28.0;h;heure;service
home_care;fr;Courses prioritaires;15.0;pc;service;service
home_care;fr;Préparation médicaments;12.0;pc;service;service
home_care;fr;Surveillance nuit;120.0;nuit;nuit;service
bakery;nl;Traditioneel stokbrood;1.20;st;stuk;produit
bakery;en;Traditional baguette;1.20;pc;piece;produit
bakery;de;Traditionelles Baguette;1.20;st;stück;produit
bakery;nl;Boter croissant;1.50;st;stuk;produit
bakery;en;Butter croissant;1.50;pc;piece;produit
bakery;de;Buttercroissant;1.50;st;stück;produit
bakery;nl;Boerenbrood (500g);3.80;st;stuk;service
bakery;en;Country bread (500g);3.80;pc;piece;service
bakery;de;Landbrot (500g);3.80;st;stück;service
bakery;nl;Appeltaart;12.50;st;stuk;produit
bakery;en;Apple tart;12.50;pc;piece;produit
bakery;de;Apfelkuchen;12.50;st;stück;produit
bakery;nl;Chocolade éclair;3.20;st;stuk;produit
bakery;en;Chocolate éclair;3.20;pc;piece;produit
bakery;de;Schokoladen-Eclair;3.20;st;stück;produit
bakery;nl;Assortiment macarons;2.50;st;stuk;produit
bakery;en;Assorted macarons;2.50;pc;piece;produit
bakery;de;Gemischte Macarons;2.50;st;stück;produit
bakery;nl;Gevlochten brioche;6.90;st;stuk;produit
bakery;en;Braided brioche;6.90;pc;piece;produit
bakery;de;Geflochtene Brioche;6.90;st;stück;produit
bakery;nl;Quiche Lorraine;14.00;st;stuk;produit
bakery;en;Lorraine quiche;14.00;pc;piece;produit
bakery;de;Quiche Lorraine;14.00;st;stück;produit
bakery;nl;Bloem T55 (1kg);1.80;st;zak;produit
bakery;en;Flour T55 (1kg);1.80;pc;bag;produit
bakery;de;Mehl T55 (1kg);1.80;st;sack;produit
bakery;nl;Driekoningentaart (6 pers);22.00;st;stuk;produit
bakery;en;Kings' cake (6 pers);22.00;pc;piece;produit
bakery;de;Dreikönigskuchen (6 Pers.);22.00;st;stück;produit
bakery;nl;Ham-boter sandwich;4.50;st;stuk;produit
bakery;en;Ham-butter sandwich;4.50;pc;piece;produit
bakery;de;Schinken-Butter-Sandwich;4.50;st;stück;produit
bakery;nl;Tompouce;4.80;st;stuk;produit
bakery;en;Mille-feuille;4.80;pc;piece;produit
bakery;de;Mille-feuille;4.80;st;stück;produit
bakery;nl;Vruchtentaartje;3.90;st;stuk;produit
bakery;en;Fruit tartlet;3.90;pc;piece;produit
bakery;de;Obsttörtchen;3.90;st;stück;produit
bakery;nl;Glutenvrij brood;5.50;st;stuk;produit
bakery;en;Gluten-free bread;5.50;pc;piece;produit
bakery;de;Glutenfreies Brot;5.50;st;stück;produit
bakery;nl;Warme chocolademelk;3.00;st;kop;produit
bakery;en;Hot chocolate;3.00;pc;cup;produit
bakery;de;Heiße Schokolade;3.00;st;tasse;produit
restaurant;nl;Dagmenu (voorgerecht+hoofdgerecht+dessert);18.50;st;menu;service
restaurant;en;Daily menu (starter+main+dessert);18.50;pc;menu;service
restaurant;de;Tagesmenü (Vorspeise+Hauptgericht+Dessert);18.50;st;menü;service
restaurant;nl;Dagschotel;14.00;st;gerecht;service
restaurant;en;Daily special;14.00;pc;dish;service
restaurant;de;Tagesgericht;14.00;st;gericht;service
restaurant;nl;Huisgemaakt voorgerecht;9.50;st;voorgerecht;service
restaurant;en;Homemade starter;9.50;pc;starter;service
restaurant;de;Hausgemachte Vorspeise;9.50;st;vorspeise;service
restaurant;nl;Dessert van de chef;8.50;st;dessert;service
restaurant;en;Chef's dessert;8.50;pc;dessert;service
restaurant;de;Dessert des Küchenchefs;8.50;st;dessert;service
restaurant;nl;Huisgemaakte drank;4.50;st;glas;service
restaurant;en;Homemade drink;4.50;pc;glass;service
restaurant;de;Hausgemachtes Getränk;4.50;st;glas;service
restaurant;nl;Kindermenu;12.00;st;menu;service
restaurant;en;Kids menu;12.00;pc;menu;service
restaurant;de;Kindermenü;12.00;st;menü;service
restaurant;nl;Lunchformule;16.00;st;formule;service
restaurant;en;Lunch formula;16.00;pc;formula;service
restaurant;de;Mittagsformel;16.00;st;formel;service
restaurant;nl;Wijnfles (75cl);25.00;st;fles;service
restaurant;en;Wine bottle (75cl);25.00;pc;bottle;service
restaurant;de;Weinflasche (75cl);25.00;st;flasche;service
restaurant;nl;Glas wijn;6.00;st;glas;service
restaurant;en;Glass of wine;6.00;pc;glass;service
restaurant;de;Weinglas;6.00;st;glas;service
restaurant;nl;Koffie met zoetigheden;7.50;st;bord;service
restaurant;en;Gourmet coffee;7.50;pc;plate;service
restaurant;de;Gourmet-Kaffee;7.50;st;teller;service
restaurant;nl;Kaasschotel;11.00;st;bord;service
restaurant;en;Cheese platter;11.00;pc;plate;service
restaurant;de;Käseteller;11.00;st;teller;service
restaurant;nl;Composed salade;13.50;st;salade;service
restaurant;en;Composed salad;13.50;pc;salad;service
restaurant;de;Zusammengestellter Salat;13.50;st;salat;service
restaurant;nl;Pizza van de dag;12.00;st;pizza;service
restaurant;en;Pizza of the day;12.00;pc;pizza;service
restaurant;de;Pizza des Tages;12.00;st;pizza;service
restaurant;nl;Huisgemaakte burger;15.50;st;burger;service
restaurant;en;Homemade burger;15.50;pc;burger;service
restaurant;de;Hausgemachter Burger;15.50;st;burger;service
restaurant;nl;Thee/koffie;3.50;st;kop;service
restaurant;en;Tea/coffee;3.50;pc;cup;service
restaurant;de;Tee/Kaffee;3.50;st;tasse;service
retail;nl;Promotie artikel;15.99;st;stuk;produit
retail;en;Promotional item;15.99;pc;piece;produit
retail;de;Aktionsartikel;15.99;st;stück;produit
retail;nl;Trendy product;29.99;st;stuk;produit
retail;en;Trending product;29.99;pc;piece;produit
retail;de;Trendprodukt;29.99;st;stück;produit
retail;nl;Mode accessoire;12.50;st;stuk;produit
retail;en;Fashion accessory;12.50;pc;piece;produit
retail;de;Modeaccessoire;12.50;st;stück;produit
retail;nl;Huishoudelijk apparaat;89.00;st;stuk;produit
retail;en;Home appliance;89.00;pc;piece;produit
retail;de;Haushaltsgerät;89.00;st;stück;produit
retail;nl;Schoonheidsproduct;24.90;st;stuk;produit
retail;en;Beauty product;24.90;pc;piece;produit
retail;de;Schönheitsprodukt;24.90;st;stück;produit
retail;nl;Decoratie artikel;35.00;st;stuk;produit
retail;en;Decoration item;35.00;pc;piece;produit
retail;de;Dekoartikel;35.00;st;stück;produit
retail;nl;Boek;18.50;st;boek;produit
retail;en;Book;18.50;pc;book;produit
retail;de;Buch;18.50;st;buch;produit
retail;nl;Speelgoed;22.99;st;stuk;produit
retail;en;Toy;22.99;pc;piece;produit
retail;de;Spielzeug;22.99;st;stück;produit
retail;nl;Sportartikel;45.00;st;stuk;produit
retail;en;Sports item;45.00;pc;piece;produit
retail;de;Sportartikel;45.00;st;stück;produit
retail;nl;Voedingsproduct (kg);8.50;kg;kg;produit
retail;en;Food product (kg);8.50;kg;kg;produit
retail;de;Lebensmittel (kg);8.50;kg;kg;produit
retail;nl;Kantoorartikel;5.99;st;stuk;produit
retail;en;Stationery item;5.99;pc;piece;produit
retail;de;Schreibwarenartikel;5.99;st;stück;produit
retail;nl;Elektronisch accessoire;19.90;st;stuk;produit
retail;en;Electronic accessory;19.90;pc;piece;produit
retail;de;Elektronisches Zubehör;19.90;st;stück;produit
retail;nl;Textiel artikel;39.99;st;stuk;produit
retail;en;Textile item;39.99;pc;piece;produit
retail;de;Textilartikel;39.99;st;stück;produit
retail;nl;Huishoudproduct;7.50;st;stuk;produit
retail;en;Household product;7.50;pc;piece;produit
retail;de;Haushaltsprodukt;7.50;st;stück;produit
retail;nl;Cadeau artikel;14.90;st;stuk;produit
retail;en;Gift item;14.90;pc;piece;produit
retail;de;Geschenkartikel;14.90;st;stück;produit
it;nl;Laptop;899.00;st;eenheid;produit
it;en;Laptop;899.00;pc;unit;produit
it;de;Laptop;899.00;st;einheit;produit
it;nl;Draadloze muis;29.99;st;stuk;produit
it;en;Wireless mouse;29.99;pc;piece;produit
it;de;Kabellose Maus;29.99;st;stück;produit
it;nl;Mechanisch toetsenbord;89.00;st;stuk;produit
it;en;Mechanical keyboard;89.00;pc;piece;produit
it;de;Mechanische Tastatur;89.00;st;stück;produit
it;nl;27 inch scherm;299.00;st;scherm;produit
it;en;"27"" screen";299.00;pc;screen;produit
it;de;27-Zoll-Bildschirm;299.00;st;bildschirm;produit
it;nl;Externe harde schijf (1TB);65.00;st;schijf;produit
it;en;External hard drive (1TB);65.00;pc;drive;produit
it;de;Externe Festplatte (1TB);65.00;st;laufwerk;produit
it;nl;Antivirus software (1 jaar);49.90;st;licentie;produit
it;en;Antivirus software (1 year);49.90;pc;license;produit
it;de;Antivirus-Software (1 Jahr);49.90;st;lizenz;produit
it;nl;HDMI kabel 2m;12.90;st;kabel;produit
it;en;HDMI cable 2m;12.90;pc;cable;produit
it;de;HDMI-Kabel 2m;12.90;st;kabel;produit
it;nl;HD webcam;59.00;st;webcam;produit
it;en;HD webcam;59.00;pc;webcam;produit
it;de;HD-Webcam;59.00;st;webcam;produit
it;nl;Hoofdtelefoon;79.90;st;hoofdtelefoon;produit
it;en;Headphones;79.90;pc;headset;produit
it;de;Kopfhörer;79.90;st;kopfhörer;produit
it;nl;Software installatie;75.00;u;uur;produit
it;en;Software installation;75.00;h;hour;produit
it;de;Software-Installation;75.00;h;stunde;produit
it;nl;Computer onderhoud;85.00;u;uur;produit
it;en;Computer maintenance;85.00;h;hour;produit
it;de;Computerwartung;85.00;h;stunde;produit
it;nl;Technische ondersteuning;65.00;u;uur;produit
it;en;Technical support;65.00;h;hour;produit
it;de;Technischer Support;65.00;h;stunde;produit
it;nl;Maatwerk ontwikkeling;120.00;u;uur;produit
it;en;Custom development;120.00;h;hour;produit
it;de;Maßgeschneiderte Entwicklung;120.00;h;stunde;produit
it;nl;Gebruikerstraining;150.00;u;uur;produit
it;en;User training;150.00;h;hour;produit
it;de;Benutzerschulung;150.00;h;stunde;produit
it;nl;Cloud backup (1 jaar);99.00;st;abonnement;produit
it;en;Cloud backup (1 year);99.00;pc;subscription;produit
it;de;Cloud-Backup (1 Jahr);99.00;st;abonnement;produit
consulting;nl;Strategisch analyse rapport;2500.00;st;rapport;service
consulting;en;Strategic analysis report;2500.00;pc;report;service
consulting;de;Strategischer Analysebericht;2500.00;st;bericht;service
consulting;nl;Marktonderzoek;4500.00;st;studie;service
consulting;en;Market study;4500.00;pc;study;service
consulting;de;Marktstudie;4500.00;st;studie;service
consulting;nl;Strategisch plan;8500.00;st;plan;service
consulting;en;Strategic plan;8500.00;pc;plan;service
consulting;de;Strategischer Plan;8500.00;st;plan;service
consulting;nl;Samenvattend document;1200.00;st;document;service
consulting;en;Summary document;1200.00;pc;document;service
consulting;de;Zusammenfassungsdokument;1200.00;st;dokument;service
consulting;nl;Strategisch advies;180.00;u;uur;service
consulting;en;Strategic consulting;180.00;h;hour;service
consulting;de;Strategische Beratung;180.00;h;stunde;service
consulting;nl;Project begeleiding;150.00;u;uur;service
consulting;en;Project support;150.00;h;hour;service
consulting;de;Projektbegleitung;150.00;h;stunde;service
consulting;nl;Organisatie audit;3200.00;st;audit;service
consulting;en;Organizational audit;3200.00;pc;audit;service
consulting;de;Organisationsaudit;3200.00;st;audit;service
consulting;nl;Management training;1200.00;dag;dag;service
consulting;en;Management training;1200.00;day;day;service
consulting;de;Management-Schulung;1200.00;tag;tag;service
consulting;nl;Leiderschap coaching;350.00;u;uur;service
consulting;en;Executive coaching;350.00;h;hour;service
consulting;de;Führungskräfte-Coaching;350.00;h;stunde;service
consulting;nl;Werk workshop;800.00;dag;dag;service
consulting;en;Work workshop;800.00;day;day;service
consulting;de;Arbeitsworkshop;800.00;tag;tag;service
consulting;nl;Bedrijfsdiagnose;2800.00;st;diagnostic;service
consulting;en;Business diagnosis;2800.00;pc;diagnostic;service
consulting;de;Unternehmensdiagnose;2800.00;st;diagnostic;service
consulting;nl;Transformatieplan;5500.00;st;plan;service
consulting;en;Transformation plan;5500.00;pc;plan;service
consulting;de;Transformationsplan;5500.00;st;plan;service
consulting;nl;Concurrentie benchmark;2200.00;st;benchmark;service
consulting;en;Competitive benchmark;2200.00;pc;benchmark;service
consulting;de;Wettbewerbsbenchmark;2200.00;st;benchmark;service
consulting;nl;Digitale roadmap;3800.00;st;roadmap;service
consulting;en;Digital roadmap;3800.00;pc;roadmap;service
consulting;de;Digitale Roadmap;3800.00;st;roadmap;service
consulting;nl;Maandelijkse ondersteuning;2000.00;maand;maand;service
consulting;en;Monthly support;2000.00;month;month;service
consulting;de;Monatliche Unterstützung;2000.00;monat;monat;service
construction;nl;Zak cement (25kg);12.50;st;zak;produit
construction;en;Cement bag (25kg);12.50;pc;bag;produit
construction;de;Zementbeutel (25kg);12.50;st;sack;produit
construction;nl;Pallet bakstenen;450.00;st;pallet;produit
construction;en;Pallet of bricks;450.00;pc;pallet;produit
construction;de;Paletten Ziegelsteine;450.00;st;palette;produit
construction;nl;HEB staalprofiel;180.00;m;meter;produit
construction;en;HEB steel beam;180.00;m;meter;produit
construction;de;HEB-Stahlträger;180.00;m;meter;produit
construction;nl;Tegels (m²);35.00;m2;m²;produit
construction;en;Tiles (m²);35.00;m2;m²;produit
construction;de;Fliesen (m²);35.00;m2;m²;produit
construction;nl;Binnenverf (10L);89.00;st;pot;service
construction;en;Interior paint (10L);89.00;pc;jar;service
construction;de;Innenfarbe (10L);89.00;st;topf;service
construction;nl;Metselaar loon;55.00;u;uur;produit
construction;en;Mason labor;55.00;h;hour;produit
construction;de;Maurerlohn;55.00;h;stunde;produit
construction;nl;Electricien loon;65.00;u;uur;produit
construction;en;Electrician labor;65.00;h;hour;produit
construction;de;Elektrikerlohn;65.00;h;stunde;produit
construction;nl;Steiger verhuur (week);280.00;st;week;produit
construction;en;Scaffolding rental (week);280.00;pc;week;produit
construction;de;Gerüstmiete (Woche);280.00;st;woche;produit
construction;nl;Zand (ton);65.00;st;tonne;produit
construction;en;Sand (ton);65.00;pc;tonne;produit
construction;de;Sand (Tonne);65.00;st;tonne;produit
construction;nl;Grind (ton);58.00;st;tonne;produit
construction;en;Gravel (ton);58.00;pc;tonne;produit
construction;de;Kies (Tonne);58.00;st;tonne;produit
construction;nl;Gipsplaat BA13;8.50;m2;plaat;service
construction;en;Plasterboard BA13;8.50;m2;board;service
construction;de;Gipskarton BA13;8.50;m2;platte;service
construction;nl;Glaswol isolatie;22.00;m2;m²;produit
construction;en;Glass wool insulation;22.00;m2;m²;produit
construction;de;Glaswolle-Dämmung;22.00;m2;m²;produit
construction;nl;Standaard PVC raam;450.00;st;raam;produit
construction;en;Standard PVC window;450.00;pc;window;produit
construction;de;Standard-PVC-Fenster;450.00;st;fenster;produit
construction;nl;Binnendeur;280.00;st;deur;produit
construction;en;Interior door;280.00;pc;door;produit
construction;de;Innentür;280.00;st;tür;produit
construction;nl;Dakpannen (m²);85.00;m2;m²;produit
construction;en;Roof tiles (m²);85.00;m2;m²;produit
construction;de;Dachziegel (m²);85.00;m2;m²;produit
plumbing;nl;Mengkraan;45.00;st;stuk;service
plumbing;en;Mixer tap;45.00;pc;piece;service
plumbing;de;Mischbatterie;45.00;st;stück;service
plumbing;nl;Hangend toilet;320.00;st;stuk;service
plumbing;en;Wall-hung toilet;320.00;pc;piece;service
plumbing;de;Wand-WC;320.00;st;stück;service
plumbing;nl;Wastafel + zuil;180.00;st;stuk;service
plumbing;en;Basin + column;180.00;pc;piece;service
plumbing;de;Waschbecken + Säule;180.00;st;stück;service
plumbing;nl;Italiaanse douche;850.00;st;stuk;service
plumbing;en;Italian shower;850.00;pc;piece;service
plumbing;de;Italienische Dusche;850.00;st;stück;service
plumbing;nl;Acryl bad;450.00;st;stuk;service
plumbing;en;Acrylic bath;450.00;pc;piece;service
plumbing;de;Acrylwanne;450.00;st;stück;service
plumbing;nl;Elektrische boiler;380.00;st;stuk;service
plumbing;en;Electric water heater;380.00;pc;piece;service
plumbing;de;Elektrischer Warmwasserspeicher;380.00;st;stück;service
plumbing;nl;Koperen buis (meter);12.50;m;meter;service
plumbing;en;Copper pipe (meter);12.50;m;meter;service
plumbing;de;Kupferrohr (Meter);12.50;m;meter;service
plumbing;nl;Sanitaire koppelingen (set);25.00;st;set;service
plumbing;en;Plumbing fittings (set);25.00;pc;set;service
plumbing;de;Sanitärarmaturen (Set);25.00;st;set;service
plumbing;nl;Dompelpomp;280.00;st;stuk;service
plumbing;en;Sump pump;280.00;pc;piece;service
plumbing;de;Tauchpumpe;280.00;st;stück;service
plumbing;nl;Riool ontstoppen;120.00;st;interventie;service
plumbing;en;Pipe unblocking;120.00;pc;intervention;service
plumbing;de;Rohrreinigung;120.00;st;intervention;service
plumbing;nl;Loodgieter loon;65.00;u;uur;service
plumbing;en;Plumber labor;65.00;h;hour;service
plumbing;de;Klempnerlohn;65.00;h;stunde;service
plumbing;nl;Sanitaire installatie;450.00;st;pakket;service
plumbing;en;Sanitary installation;450.00;pc;package;service
plumbing;de;Sanitärinstallation;450.00;st;paket;service
plumbing;nl;Waterverzachter;890.00;st;stuk;service
plumbing;en;Water softener;890.00;pc;piece;service
plumbing;de;Wasserenthärter;890.00;st;stück;service
plumbing;nl;Waterfilter;120.00;st;stuk;service
plumbing;en;Water filter;120.00;pc;piece;service
plumbing;de;Wasserfilter;120.00;st;stück;service
plumbing;nl;Waterbesparend reservoir;85.00;st;stuk;service
plumbing;en;Water-saving flush;85.00;pc;piece;service
plumbing;de;Wassersparende Spülung;85.00;st;stück;service
electrician;nl;Elektrische kast;350.00;st;stuk;service
electrician;en;Electrical panel;350.00;pc;piece;service
electrician;de;Elektroschrank;350.00;st;stück;service
electrician;nl;Zekering;45.00;st;stuk;service
electrician;en;Circuit breaker;45.00;pc;piece;service
electrician;de;Leistungsschalter;45.00;st;stück;service
electrician;nl;Stopcontact;8.50;st;stuk;service
electrician;en;Power outlet;8.50;pc;piece;service
electrician;de;Steckdose;8.50;st;stück;service
electrician;nl;Schakelaar;12.00;st;stuk;service
electrician;en;Switch;12.00;pc;piece;service
electrician;de;Schalter;12.00;st;stück;service
electrician;nl;Elektrische kabel (meter);3.20;m;meter;service
electrician;en;Electrical cable (meter);3.20;m;meter;service
electrician;de;Elektrokabel (Meter);3.20;m;meter;service
electrician;nl;Inbouwdoos;6.50;st;stuk;service
electrician;en;Flush-mounted box;6.50;pc;piece;service
electrician;de;Unterputzdose;6.50;st;stück;service
electrician;nl;LED plafondlamp;89.00;st;stuk;service
electrician;en;LED ceiling light;89.00;pc;piece;service
electrician;de;LED-Deckenleuchte;89.00;st;stück;service
electrician;nl;Inbouwspot;25.00;st;stuk;service
electrician;en;Recessed spotlight;25.00;pc;piece;service
electrician;de;Einbaustrahler;25.00;st;stück;service
electrician;nl;Afzuigventilator;120.00;st;stuk;service
electrician;en;Extract fan;120.00;pc;piece;service
electrician;de;Abluftventilator;120.00;st;stück;service
electrician;nl;Video intercom;380.00;st;stuk;service
electrician;en;Video intercom;380.00;pc;piece;service
electrician;de;Video-Gegensprechanlage;380.00;st;stück;service
electrician;nl;Domotica (pakket);1200.00;st;pakket;service
electrician;en;Home automation (pack);1200.00;pc;pack;service
electrician;de;Hausautomation (Paket);1200.00;st;paket;service
electrician;nl;Electricien loon;65.00;u;uur;service
electrician;en;Electrician labor;65.00;h;hour;service
electrician;de;Elektrikerlohn;65.00;h;stunde;service
electrician;nl;Elektrische normalisatie;850.00;st;pakket;service
electrician;en;Electrical standardization;850.00;pc;package;service
electrician;de;Elektrische Normierung;850.00;st;paket;service
electrician;nl;Elektrisch schema;450.00;st;pakket;service
electrician;en;Electrical diagram;450.00;pc;package;service
electrician;de;Elektrischer Schaltplan;450.00;st;paket;service
electrician;nl;Elektrische diagnose;180.00;st;pakket;service
electrician;en;Electrical diagnosis;180.00;pc;package;service
electrician;de;Elektrische Diagnose;180.00;st;paket;service
carpentry;nl;Massief houten deur;450.00;st;stuk;produit
carpentry;en;Solid wood door;450.00;pc;piece;produit
carpentry;de;Massivholztür;450.00;st;stück;produit
carpentry;nl;Eiken raam;680.00;st;stuk;produit
carpentry;en;Oak window;680.00;pc;piece;produit
carpentry;de;Eichenfenster;680.00;st;stück;produit
carpentry;nl;Maatwerk trap;3500.00;st;stuk;produit
carpentry;en;Custom staircase;3500.00;pc;piece;produit
carpentry;de;Maßgefertigte Treppe;3500.00;st;stück;produit
carpentry;nl;Inbouwkast;1200.00;st;stuk;produit
carpentry;en;Built-in wardrobe;1200.00;pc;piece;produit
carpentry;de;Einbauschrank;1200.00;st;stück;produit
carpentry;nl;Maatwerk boekenkast;850.00;st;stuk;produit
carpentry;en;Custom bookcase;850.00;pc;piece;produit
carpentry;de;Maßgefertigtes Bücherregal;850.00;st;stück;produit
carpentry;nl;Eiken parket (m²);65.00;m2;m²;produit
carpentry;en;Oak parquet (m²);65.00;m2;m²;produit
carpentry;de;Eichenparkett (m²);65.00;m2;m²;produit
carpentry;nl;Wandlambrisering (m²);35.00;m2;m²;produit
carpentry;en;Wall paneling (m²);35.00;m2;m²;produit
carpentry;de;Wandvertäfelung (m²);35.00;m2;m²;produit
carpentry;nl;Traditionele kap;8500.00;st;pakket;produit
carpentry;en;Traditional framework;8500.00;pc;package;produit
carpentry;de;Traditionelles Dachwerk;8500.00;st;paket;produit
carpentry;nl;Meubel renovatie;450.00;st;stuk;produit
carpentry;en;Furniture renovation;450.00;pc;piece;produit
carpentry;de;Möbelrenovierung;450.00;st;stück;produit
carpentry;nl;Maatwerk tafel;680.00;st;stuk;produit
carpentry;en;Custom table;680.00;pc;piece;produit
carpentry;de;Maßgefertigter Tisch;680.00;st;stück;produit
carpentry;nl;Houten stoel;120.00;st;stuk;produit
carpentry;en;Wooden chair;120.00;pc;piece;produit
carpentry;de;Holzstuhl;120.00;st;stück;produit
carpentry;nl;Schrijnwerker loon;55.00;u;uur;produit
carpentry;en;Carpenter labor;55.00;h;hour;produit
carpentry;de;Schreinerlohn;55.00;h;stunde;produit
carpentry;nl;Lakken/beitsen;35.00;m2;m²;produit
carpentry;en;Varnishing/staining;35.00;m2;m²;produit
carpentry;de;Lackieren/Beizen;35.00;m2;m²;produit
carpentry;nl;Maatwerk snijden;25.00;st;stuk;produit
carpentry;en;Custom cutting;25.00;pc;piece;produit
carpentry;de;Maßgeschneidertes Schneiden;25.00;st;stück;produit
carpentry;nl;Parket leggen;28.00;m2;m²;produit
carpentry;en;Parquet installation;28.00;m2;m²;produit
carpentry;de;Parkettverlegung;28.00;m2;m²;produit
hairdressing;nl;Herenknipbeurt;25.00;st;dienst;service
hairdressing;en;Men's haircut;25.00;pc;service;service
hairdressing;de;Herrenhaarschnitt;25.00;st;dienstleistung;service
hairdressing;nl;Damesknipbeurt;35.00;st;dienst;service
hairdressing;en;Women's haircut;35.00;pc;service;service
hairdressing;de;Damenhaarschnitt;35.00;st;dienstleistung;service
hairdressing;nl;Brushing;28.00;st;dienst;service
hairdressing;en;Blow-dry;28.00;pc;service;service
hairdressing;de;Föhnen;28.00;st;dienstleistung;service
hairdressing;nl;Kleuring;55.00;st;dienst;service
hairdressing;en;Hair coloring;55.00;pc;service;service
hairdressing;de;Haarfärbung;55.00;st;dienstleistung;service
hairdressing;nl;Highlights/balayage;75.00;st;dienst;service
hairdressing;en;Highlights/balayage;75.00;pc;service;service
hairdressing;de;Strähnen/Balayage;75.00;st;dienstleistung;service
hairdressing;nl;Stijlen;85.00;st;dienst;service
hairdressing;en;Hair straightening;85.00;pc;service;service
hairdressing;de;Glätten;85.00;st;dienstleistung;service
hairdressing;nl;Permanent;65.00;st;dienst;service
hairdressing;en;Perm;65.00;pc;service;service
hairdressing;de;Dauerwelle;65.00;st;dienstleistung;service
hairdressing;nl;Avondkapsel;45.00;st;dienst;service
hairdressing;en;Evening updo;45.00;pc;service;service
hairdressing;de;Abendfrisur;45.00;st;dienstleistung;service
hairdressing;nl;Behandelende shampoo;15.00;st;dienst;service
hairdressing;en;Treatment shampoo;15.00;pc;service;service
hairdressing;de;Behandlungsshampoo;15.00;st;dienstleistung;service
hairdressing;nl;Diepgaande verzorging;25.00;st;dienst;service
hairdressing;en;Deep treatment;25.00;pc;service;service
hairdressing;de;Tiefenbehandlung;25.00;st;dienstleistung;service
hairdressing;nl;Bruiloft pakket;250.00;st;pakket;service
hairdressing;en;Wedding package;250.00;pc;package;service
hairdressing;de;Hochzeitspaket;250.00;st;paket;service
hairdressing;nl;Styling product;18.50;st;flesje;service
hairdressing;en;Styling product;18.50;pc;bottle;service
hairdressing;de;Stylingprodukt;18.50;st;fläschchen;service
hairdressing;nl;Haarserum;24.90;st;flesje;service
hairdressing;en;Hair serum;24.90;pc;bottle;service
hairdressing;de;Haarserum;24.90;st;fläschchen;service
hairdressing;nl;Complete verzorgingspakket;120.00;st;pakket;service
hairdressing;en;Complete care pack;120.00;pc;package;service
hairdressing;de;Komplettpflegepaket;120.00;st;paket;service
hairdressing;nl;Trouwkaart (10 knipbeurten);220.00;st;kaart;service
hairdressing;en;Loyalty card (10 cuts);220.00;pc;card;service
hairdressing;de;Treuekarte (10 Schnitte);220.00;st;karte;service
automotive;nl;Volledige revisie;180.00;st;pakket;produit
automotive;en;Full service;180.00;pc;package;produit
automotive;de;Vollständige Überholung;180.00;st;paket;produit
automotive;nl;Olieverversing + filters;85.00;st;pakket;produit
automotive;en;Oil change + filters;85.00;pc;package;produit
automotive;de;Ölwechsel + Filter;85.00;st;paket;produit
automotive;nl;Voorremmen (vervanging);220.00;st;pakket;produit
automotive;en;Front brakes (replacement);220.00;pc;package;produit
automotive;de;Vorderbremsen (Ersatz);220.00;st;paket;produit
automotive;nl;Achterremmen (vervanging);190.00;st;pakket;produit
automotive;en;Rear brakes (replacement);190.00;pc;package;produit
automotive;de;Hinterbremsen (Ersatz);190.00;st;paket;produit
automotive;nl;Zomerband (montage);65.00;st;band;produit
automotive;en;Summer tire (fitting);65.00;pc;tire;produit
automotive;de;Sommerreifen (Montage);65.00;st;reifen;produit
automotive;nl;Winterband (montage);75.00;st;band;produit
automotive;en;Winter tire (fitting);75.00;pc;tire;produit
automotive;de;Winterreifen (Montage);75.00;st;reifen;produit
automotive;nl;Uitlijnen;85.00;st;pakket;produit
automotive;en;Wheel alignment;85.00;pc;package;produit
automotive;de;Achsvermessung;85.00;st;paket;produit
automotive;nl;Accu;180.00;st;stuk;produit
automotive;en;Battery;180.00;pc;piece;produit
automotive;de;Batterie;180.00;st;stück;produit
automotive;nl;Dynamo;350.00;st;stuk;produit
automotive;en;Alternator;350.00;pc;piece;produit
automotive;de;Lichtmaschine;350.00;st;stück;produit
automotive;nl;Startmotor;280.00;st;stuk;produit
automotive;en;Starter;280.00;pc;piece;produit
automotive;de;Anlasser;280.00;st;stück;produit
automotive;nl;Koppeling;650.00;st;stuk;produit
automotive;en;Clutch;650.00;pc;piece;produit
automotive;de;Kupplung;650.00;st;stück;produit
automotive;nl;Distributieriem;450.00;st;stuk;produit
automotive;en;Timing belt;450.00;pc;piece;produit
automotive;de;Zahnriemen;450.00;st;stück;produit
automotive;nl;Electronische diagnose;65.00;st;pakket;produit
automotive;en;Electronic diagnosis;65.00;pc;package;produit
automotive;de;Elektronische Diagnose;65.00;st;paket;produit
automotive;nl;Airconditioning (vulling);95.00;st;pakket;produit
automotive;en;Air conditioning (recharge);95.00;pc;package;produit
automotive;de;Klimaanlage (Auffüllung);95.00;st;paket;produit
automotive;nl;Premium wasbeurt;25.00;st;dienst;produit
automotive;en;Premium wash;25.00;pc;service;produit
automotive;de;Premium-Wäsche;25.00;st;dienstleistung;produit
